Year,Grade,Subject,Tested_Skill,Question,Options,Correct_Answer,National_Performance,School_Performance,Explanation
2025,5,Maths,Number sense,"Which of the following represents the value of the number 74?","A) 7 x 4\nB) 10 x 7 + 4\nC) 7 + 4\nD) 70 x 4",B,65%,58%,"Students often confuse face value with place value. The 7 in 74 represents 7 tens (70)."
2025,5,Maths,Fractions,"Which of these is GREATER than 1/2?","A) 1/3\nB) 2/4\nC) 3/5\nD) 4/10",C,42%,35%,"A common misconception is that a larger denominator makes a larger fraction (thinking 1/3 > 1/2)."
2025,5,Maths,Measurement,"If a square has a perimeter of 20 cm, what is the length of one side?","A) 10 cm\nB) 5 cm\nC) 4 cm\nD) 40 cm",B,55%,48%,"Students often confuse perimeter with area or simply divide by 2 instead of 4."
2025,5,Maths,Time calculation,"A movie starts at 11:45 AM and lasts 2 hours and 30 minutes. What time does it end?","A) 1:15 PM\nB) 2:15 PM\nC) 1:45 PM\nD) 2:30 PM",B,48%,40%,"Crossing the 12:00 PM threshold is a major hurdle in elapsed time calculations."
2025,5,Maths,Data interpretation,"In a bar graph where 1 cm = 5 students, how long should a bar be to represent 25 students?","A) 25 cm\nB) 10 cm\nC) 5 cm\nD) 20 cm",C,60%,55%,"Difficulty in applying scale factors to visual representations."
2025,5,Science,States of Matter,"Which of the following is a property of a gas?","A) Fixed shape and fixed volume\nB) Fixed volume but no fixed shape\nC) No fixed shape and no fixed volume\nD) Fixed shape but no fixed volume",C,52%,45%,"Students often struggle with the 'invisible' nature of gas, thinking it has a fixed volume like liquids."
2025,5,Science,Plant Biology,"What part of the plant is responsible for making food?","A) Root\nB) Stem\nC) Leaf\nD) Flower",C,72%,65%,"While most know this, the misconception lies in thinking 'soil' is the food rather than sunlight/CO2."
2025,5,Science,Human Body,"Which type of teeth are used for tearing food like meat?","A) Incisors\nB) Canines\nC) Molars\nD) Premolars",B,58%,50%,"Functional identification of tooth types is a frequent low-performing area."
2025,5,Science,Seed Dispersal,"A seed with hooks or spines is most likely dispersed by:","A) Wind\nB) Water\nC) Animals\nD) Explosive action",C,66%,60%,"Students often guess 'Wind' for any small seed without observing the physical adaptation (hooks)."
2025,5,Science,Energy,"Which of these is a renewable source of energy?","A) Coal\nB) Petroleum\nC) Solar\nD) Natural Gas",C,75%,70%,"Common confusion between 'natural' (like gas) and 'renewable'."
2025,5,English,Main Idea,"What is the '5-second rule' passage mainly about?","A) How to cook toast\nB) Why bacteria are good\nC) A myth about food safety\nD) How to clean floors",C,51%,41%,"Difficulty in distinguishing between a supporting detail and the central theme."
2025,5,English,Contextual clues,"In the sentence 'The bacteria infect the food,' what does 'infect' mean?","A) To make clean\nB) To make sick or contaminated\nC) To make tasty\nD) To wash away",B,68%,62%,"Deducing word meanings from surrounding text."
2025,5,English,Grammar: Pronouns,"In 'The boys took their bags,' what does 'their' refer to?","A) The bags\nB) The boys\nC) The school\nD) The teacher",B,75%,68%,"Pronoun-antecedent agreement in complex sentences."
2025,5,English,Punctuation,"Which sentence uses the apostrophe correctly?","A) The dog's are barking.\nB) The girls' hat is red.\nC) That is the cat's tail.\nD) I saw two car's.",C,45%,38%,"Confusion between plural 's' and possessive 's'."
2025,5,English,Inference,"If a character 'slammed the door and stomped away,' how do they feel?","A) Happy\nB) Sad\nC) Angry\nD) Tired",C,82%,78%,"Inferring emotions from behavioral descriptions."
2025,5,Social Studies,Physical Geography,"Which reason is MOST directly responsible for Mizoram's habitat loss?","A) Overpopulation\nB) Slash-and-burn cultivation\nC) Ozone depletion\nD) Global warming",B,38%,32%,"Direct causality vs. broad environmental issues."
2025,5,Social Studies,Maps & Globes,"What is the imaginary line that divides the Earth into North and South?","A) Prime Meridian\nB) Equator\nC) Tropic of Cancer\nD) Axis",B,64%,55%,"Confusion between Latitude (Equator) and Longitude (Meridian)."
2025,5,Social Studies,Early Humans,"Why did early humans settle near rivers?","A) To go swimming\nB) For water and fertile soil\nC) To build bridges\nD) To hide from animals",B,78%,72%,"Understanding the environmental factors of early civilization."
2025,5,Social Studies,Pollution,"Which of these is a major cause of noise pollution?","A) Planting trees\nB) Honking of vehicles\nC) Using paper bags\nD) Solar panels",B,88%,85%,"Basic identification of environmental stressors."
2025,5,Social Studies,Civics,"Who is the head of a Gram Panchayat?","A) Mayor\nB) Sarpanch\nC) Governor\nD) Prime Minister",B,70%,65%,"Distinguishing between local, state, and central government roles."
2025,5,Hindi,Grammar,"'मेज' शब्द का लिंग क्या है?","A) पुल्लिंग\nB) स्त्रीलिंग\nC) नपुंसकलिंग\nD) इनमें से कोई नहीं",B,52%,45%,"Hindi gender assignment for inanimate objects is a high-error area."
2025,5,Hindi,Vocabulary,"'आकाश' का पर्यायवाची शब्द क्या है?","A) जल\nB) गगन\nC) धरती\nD) पवन",B,78%,72%,"Synonym recall."
2025,5,Hindi,Idioms,"'नौ दो ग्यारह होना' का क्या अर्थ है?","A) गिनती करना\nB) भाग जाना\nC) डर जाना\nD) खुश होना",B,65%,58%,"Literal vs. figurative meaning of idioms."
2025,5,Hindi,Sentence Structure,"सही वाक्य चुनिए:","A) वह स्कूल जाता है।\nB) वह स्कूल जाते है।\nC) वे स्कूल जाता है।\nD) वह स्कूल जाती हैं।",A,82%,75%,"Subject-verb agreement (लिंग/वचन)."
2025,5,Hindi,Comprehension,"'स्वर्ण-किरण' का अर्थ कविता के संदर्भ में क्या है?","A) सोने का हार\nB) सूरज की रोशनी\nC) पीला रंग\nD) बिजली",B,45%,42%,"Interpreting poetic metaphors."
2025,8,Maths,Algebraic relations,"In y = 4x - 3, if y is 37, what is x?","A) 8.5\nB) 10\nC) 40\nD) 145",B,35%,28%,"Order of operations in inverse calculations (adding 3 before dividing)."
2025,8,Maths,Geometry,"How do you find length (l) if P and b are known in P = 2(l + b)?","A) P - b / 2\nB) P / b - 2\nC) P / 2 + b\nD) P / 2 - b",D,31%,25%,"Algebraic rearrangement of multi-step formulas."
2025,8,Maths,Probability,"What is the probability of rolling a prime number on a standard die?","A) 1/2\n) 1/3\nC) 1/6\nD) 2/3",A,44%,38%,"Students often forget that 1 is not prime or fail to count 2, 3, and 5."
2025,8,Maths,Exponents,"What is the value of (2^3) * (2^2)?","A) 2^6\nB) 2^5\nC) 4^5\nD) 4^6",B,56%,49%,"Confusion between adding exponents (multiplication) and multiplying them (power of power)."
2025,8,Maths,Linear Equations,"Solve for x: 3x + 5 = 20.","A) 5\nB) 15\nC) 7.5\nD) 8",A,72%,65%,"Basic linear equation solving."
2025,8,Science,Physics: Pressure,"If you increase the area over which a force is applied, what happens to the pressure?","A) Increases\nB) Decreases\nC) Stays same\nD) Doubles",B,41%,34%,"Inverse relationship between area and pressure is a counter-intuitive concept."
2025,8,Science,Biology: Cells,"Which part of the cell is known as the 'control centre'?","A) Mitochondria\nB) Cell Wall\nC) Nucleus\nD) Cytoplasm",C,68%,62%,"Functional role of organelles."
2025,8,Science,Chemistry: Combustion,"Which zone of a candle flame is the hottest?","A) Innermost black zone\nB) Middle luminous zone\nC) Outermost non-luminous zone\nD) Bottom zone",C,46%,39%,"Visual misconception: students think the bright yellow part is hottest."
2025,8,Science,Microorganisms,"Vaccines work by producing _______ in the body.","A) Bacteria\nB) Antigens\nC) Antibodies\nD) Antibiotics",C,52%,46%,"Confusion between antibiotics (treatment) and antibodies (prevention)."
2025,8,Science,Solar System,"Which planet is known as the Morning Star?","A) Mars\nB) Venus\nC) Jupiter\nD) Saturn",B,65%,58%,"Identification of celestial bodies."
2025,8,English,Literary Devices,"'The old house sighed.' Which device is this?","A) Simile\nB) Metaphor\nC) Personification\nD) Hyperbole",C,55%,51%,"Attributing human traits to objects."
2025,8,English,Grammar: Clauses,"Identify the dependent clause: 'Because it was raining, we stayed inside.'","A) Because it was raining\nB) We stayed inside\nC) It was raining\nD) stayed inside",A,48%,40%,"Distinguishing between independent and dependent structures."
2025,8,English,Active/Passive,"'The cake was eaten by the dog.' In active voice, this is:","A) The dog eats the cake.\nB) The dog ate the cake.\nC) The dog has eaten the cake.\nD) The cake ate the dog.",B,62%,55%,"Maintaining tense while changing voice."
2025,8,English,Vocabulary,"What is the antonym of 'Arrogant'?","A) Proud\nB) Humble\nC) Smart\nD) Rude",B,70%,65%,"Opposite word identification."
2025,8,English,Tone,"If a writer says 'Oh great, another test,' what is the tone?","A) Excited\nB) Sarcastic\nC) Angry\nD) Fearful",B,58%,50%,"Detecting irony and sarcasm in text."
2025,8,Social Studies,History: Geology,"Basalt rocks on the Deccan Plateau indicate what?","A) High rainfall\nB) Volcanic activity\nC) Sea level rise\nD) Glaciation",C,24%,18%,"Linking rock types (igneous) to geologic processes."
2025,8,Social Studies,Geography,"Which landform is created at the mouth of a river?","A) Glacier\nB) Delta\nC) Canyon\nD) Valley",B,45%,42%,"Landform identification at river transitions."
2025,8,Social Studies,Civics: Constitution,"What does 'Secularism' mean in the Indian Constitution?","A) No religion allowed\nB) Only one religion allowed\nC) State treats all religions equally\nD) Religion is more important than law",C,62%,55%,"Defining core constitutional values."
2025,8,Social Studies,History: Industry,"Where did the Industrial Revolution begin?","A) USA\nB) India\nC) Britain\nD) France",C,78%,72%,"Historical origin points."
2025,8,Social Studies,Resources,"Which of these is a human-made resource?","A) Iron Ore\nB) Technology\nC) Water\nD) Forest",B,82%,78%,"Natural vs. synthesized resources."
2025,8,Hindi,Grammar: समास,"'यथाशक्ति' में कौन सा समास है?","A) अव्ययीभाव\nB) तत्पुरुष\nC) द्वंद्व\nD) बहुव्रीहि",A,38%,31%,"Advanced grammar concepts like Samas are consistently low-performing."
2025,8,Hindi,Literature Analysis,"कवि ने 'दीवानों' शब्द का प्रयोग किसके लिए किया है?","A) पागलों के लिए\nB) देश के वीरों के लिए\nC) व्यापारियों के लिए\nD) बच्चों के लिए",B,54%,48%,"Interpreting symbolic characters in literature."
2025,8,Hindi,Idioms,"'अधजल गगरी छलकत जाय' का अर्थ है:","A) गगरी खाली होना\nB) कम ज्ञान पर दिखावा करना\nC) बहुत ज्ञानी होना\nD) प्यास लगना",B,54%,50%,"Metaphorical understanding."
2025,8,Hindi,Sandhi,"'हिमालय' का सही संधि-विच्छेद क्या है?","A) हिम + लय\nB) हिमा + लय\nC) हिम + आलय\nD) हिमा + आलय",C,75%,68%,"Applying Sandhi rules."
2025,8,Hindi,Vocabulary,"'उन्मूलन' का विलोम शब्द क्या है?","A) रोपण\nB) विनाश\nC) अंत\nD) विकास",A,42%,35%,"Advanced vocabulary and antonyms."